[SLAM HANDLER] Resetting SLAM.
[SLAM] SLAM initialized in mode 3
[SLAM HANDLER] Starting SLAM...
Particle filter runtime (3000): 0.215411
Particle filter runtime (3000): 0.171826
Particle filter runtime (3000): 0.160589
Particle filter runtime (3000): 0.0986955
Particle filter runtime (3000): 0.137165
Particle filter runtime (3000): 0.0986766
Particle filter runtime (3000): 0.0993036
Particle filter runtime (3000): 0.125639
Particle filter runtime (3000): 0.0889483
Particle filter runtime (3000): 0.0935104
Particle filter runtime (3000): 0.0916029
Particle filter runtime (3000): 0.148649
Particle filter runtime (3000): 0.105783
Particle filter runtime (3000): 0.0933749
Particle filter runtime (3000): 0.11387
Particle filter runtime (3000): 0.0916127
Particle filter runtime (3000): 0.135552
Particle filter runtime (3000): 0.0981669
Particle filter runtime (3000): 0.094782
Particle filter runtime (3000): 0.154208
Particle filter runtime (3000): 0.0939123
Particle filter runtime (3000): 0.0963442
Particle filter runtime (3000): 0.0979105
Particle filter runtime (3000): 0.129374
Particle filter runtime (3000): 0.129156
Particle filter runtime (3000): 0.0979798
Particle filter runtime (3000): 0.132616
Particle filter runtime (3000): 0.206866
Particle filter runtime (3000): 0.0942314
Particle filter runtime (3000): 0.0995675
Particle filter runtime (3000): 0.097269
Particle filter runtime (3000): 0.105209
Particle filter runtime (3000): 0.0986496
Particle filter runtime (3000): 0.115045
Particle filter runtime (3000): 0.152652
Particle filter runtime (3000): 0.0960556
Particle filter runtime (3000): 0.149008
Particle filter runtime (3000): 0.104982
Particle filter runtime (3000): 0.103615
Particle filter runtime (3000): 0.0980773
Particle filter runtime (3000): 0.0960041
Particle filter runtime (3000): 0.170977
Particle filter runtime (3000): 0.1093
Particle filter runtime (3000): 0.100542
Particle filter runtime (3000): 0.105695
Particle filter runtime (3000): 0.0984242
Particle filter runtime (3000): 0.0991535
Particle filter runtime (3000): 0.103213
Particle filter runtime (3000): 0.0952373
Particle filter runtime (3000): 0.116742
Particle filter runtime (3000): 0.0965284
Particle filter runtime (3000): 0.185025
Particle filter runtime (3000): 0.0961057
Particle filter runtime (3000): 0.176432
Particle filter runtime (3000): 0.168135
Particle filter runtime (3000): 0.118
Particle filter runtime (3000): 0.0986452
Particle filter runtime (3000): 0.192844
Particle filter runtime (3000): 0.118144
Particle filter runtime (3000): 0.181819
Particle filter runtime (3000): 0.100347
Particle filter runtime (3000): 0.104652
Particle filter runtime (3000): 0.0951548
Particle filter runtime (3000): 0.149189
Particle filter runtime (3000): 0.123078
Particle filter runtime (3000): 0.107239
Particle filter runtime (3000): 0.116726
Particle filter runtime (3000): 0.142996
Particle filter runtime (3000): 0.0976503
Particle filter runtime (3000): 0.0945632
Particle filter runtime (3000): 0.0924348
Particle filter runtime (3000): 0.0928917
Particle filter runtime (3000): 0.108503
Particle filter runtime (3000): 0.0915753
Particle filter runtime (3000): 0.0779463
Particle filter runtime (3000): 0.124594
Particle filter runtime (3000): 0.159348
Particle filter runtime (3000): 0.133442
Particle filter runtime (3000): 0.101233
Particle filter runtime (3000): 0.141363
Particle filter runtime (3000): 0.116721
Particle filter runtime (3000): 0.104743
Particle filter runtime (3000): 0.172843
Particle filter runtime (3000): 0.0970259
Particle filter runtime (3000): 0.10054
